real_timestamp,Zone,R1,I1,R2,I2,R3,I3,R4,I4,R5,I5,R6,I6,R7,I7,R8,I8,R9,I9,R10,I10,R11,I11,R12,I12,R13,I13,R14,I14,R15,I15,R16,I16,R17,I17,R18,I18,R19,I19,R20,I20,R21,I21,R22,I22,R23,I23,R24,I24,R25,I25,R26,I26,R27,I27,R28,I28,R29,I29,R30,I30,R31,I31,R32,I32,R33,I33,R34,I34,R35,I35,R36,I36,R37,I37,R38,I38,R39,I39,R40,I40,R41,I41,R42,I42,R43,I43,R44,I44,R45,I45,R46,I46,R47,I47,R48,I48,R49,I49,R50,I50,R51,I51,R52,I52,R53,I53,R54,I54,R55,I55,R56,I56,R57,I57,R58,I58,R59,I59,R60,I60,R61,I61,R62,I62,R63,I63,R64,I64
14.727,1,84,-64,4,0,0,0,0,0,0,0,0,0,9,16,8,16,8,16,7,17,6,16,6,16,5,16,4,15,4,15,4,15,4,15,3,15,3,15,3,15,2,14,3,14,3,13,3,13,2,13,2,13,2,13,2,12,2,11,3,12,3,12,3,12,0,0,3,11,3,10,4,11,4,10,4,10,4,10,4,10,4,10,4,9,5,8,5,8,5,9,5,8,6,9,6,7,7,7,7,7,8,7,8,7,8,6,8,7,9,7,9,6,10,6,10,6,10,6,0,0,0,0,0,0,0,0,0,0
14.7337,1,84,-64,4,0,0,0,0,0,0,0,0,0,-15,-13,-14,-12,-14,-13,-13,-13,-13,-15,-10,-14,-11,-14,-10,-14,-9,-14,-10,-14,-8,-14,-9,-14,-9,-14,-8,-13,-8,-13,-7,-12,-8,-13,-8,-12,-8,-12,-7,-13,-7,-12,-7,-12,-7,-11,-8,-12,-7,-10,-8,-11,0,0,-7,-9,-8,-9,-7,-10,-8,-7,-8,-10,-9,-9,-7,-9,-7,-6,-11,-8,-10,-10,-9,-8,-10,-6,-8,-6,-10,-6,-9,-6,-11,-5,-11,-5,-10,-5,-11,-4,-12,-4,-11,-4,-11,-3,-11,-4,-13,-3,-12,-3,-13,-3,0,0,0,0,0,0,0,0,0,0
14.7451,1,84,-64,4,0,0,0,0,0,0,0,0,0,15,9,15,9,14,10,14,11,13,11,13,11,12,11,10,11,10,11,10,11,10,11,10,11,9,11,9,11,9,11,8,10,8,10,8,10,8,10,8,10,7,10,7,9,7,9,7,9,8,9,7,8,0,0,7,8,7,8,7,7,7,7,7,7,8,7,8,7,8,6,7,6,8,5,8,5,8,5,8,4,8,4,9,4,9,3,9,3,10,3,10,3,10,2,10,2,11,2,11,2,11,1,12,1,12,1,0,0,0,0,0,0,0,0,0,0
14.7531,1,84,-64,4,0,0,0,0,0,0,0,0,0,-16,-8,-15,-8,-15,-9,-14,-9,-14,-10,-12,-10,-12,-10,-11,-11,-11,-10,-11,-10,-10,-10,-10,-10,-10,-10,-9,-10,-9,-10,-9,-10,-8,-9,-9,-9,-9,-9,-9,-9,-8,-9,-9,-9,-8,-8,-9,-8,-9,-8,-8,-7,0,0,-8,-7,-9,-7,-8,-6,-8,-6,-8,-6,-8,-6,-9,-6,-9,-5,-8,-5,-9,-4,-9,-4,-9,-3,-9,-3,-9,-3,-9,-3,-9,-2,-10,-2,-9,-2,-10,-1,-10,-1,-10,-1,-11,-1,-11,0,-11,0,-12,0,-12,0,0,0,0,0,0,0,0,0,0,0
14.7678,1,84,-64,4,0,0,0,0,0,0,0,0,0,-9,16,-10,15,-11,15,-11,15,-12,13,-11,12,-12,12,-11,11,-12,11,-11,11,-12,11,-11,10,-12,10,-11,9,-11,9,-11,9,-10,9,-10,8,-10,9,-10,8,-10,8,-10,8,-9,8,-9,8,-10,8,-9,8,0,0,-8,8,-8,8,-8,8,-7,8,-7,8,-7,8,-7,8,-6,8,-6,8,-5,9,-5,9,-5,9,-4,9,-4,9,-3,9,-3,10,-3,10,-2,10,-3,10,-2,11,-2,11,-1,11,-1,12,-1,12,-1,12,-1,13,0,0,0,0,0,0,0,0,0,0
14.7743,1,84,-64,4,0,0,0,0,0,0,0,0,0,17,0,17,0,16,2,16,2,17,2,16,4,16,4,14,5,14,4,14,4,14,4,14,4,13,4,13,4,12,5,14,3,12,3,11,4,11,4,13,4,11,4,11,4,11,3,11,3,11,3,11,3,0,0,10,2,10,2,10,2,10,1,11,2,9,0,12,2,8,1,12,-1,12,-2,10,-1,9,-1,9,-2,8,-2,10,-2,10,-3,10,-3,9,-3,10,-3,10,-4,10,-3,10,-5,10,-6,10,-7,11,-6,11,-6,0,0,0,0,0,0,0,0,0,0
14.7831,1,84,-64,4,0,0,0,0,0,0,0,0,0,11,-13,13,-12,13,-13,12,-12,13,-11,13,-9,13,-8,12,-9,13,-8,12,-8,13,-8,12,-8,12,-7,11,-7,12,-6,11,-7,10,-6,10,-7,10,-6,11,-7,10,-6,10,-6,10,-6,10,-7,10,-6,9,-6,0,0,9,-6,8,-6,8,-6,7,-8,7,-7,8,-8,7,-6,4,-7,5,-10,6,-4,5,-8,6,-8,6,-9,6,-8,4,-8,5,-9,4,-11,4,-10,4,-11,4,-11,3,-12,3,-12,3,-12,3,-13,3,-13,3,-13,0,0,0,0,0,0,0,0,0,0
14.7942,1,84,-64,4,0,0,0,0,0,0,0,0,0,-7,-17,-6,-16,-5,-17,-5,-17,-4,-17,-3,-16,-2,-16,-2,-15,-2,-15,-1,-15,-1,-15,-1,-15,-1,-15,-1,-14,0,-14,-1,-14,-1,-13,-2,-13,-1,-13,-1,-13,0,-13,-1,-13,-1,-12,-1,-12,-1,-12,-1,-12,0,0,-2,-11,-2,-11,-2,-11,-2,-11,-2,-11,-2,-11,-3,-11,-3,-10,-4,-10,-4,-10,-4,-10,-5,-10,-5,-9,-5,-9,-6,-9,-7,-9,-6,-10,-7,-9,-7,-9,-7,-9,-8,-9,-8,-10,-8,-9,-9,-9,-9,-10,-10,-9,0,0,0,0,0,0,0,0,0,0
14.804,1,84,-64,4,0,0,0,0,0,0,0,0,0,13,7,14,7,12,8,12,8,10,9,10,9,9,8,9,8,10,9,9,8,10,9,8,9,8,8,7,8,7,8,8,7,7,7,7,8,7,8,7,7,7,9,6,7,8,7,7,7,6,7,7,7,0,0,7,6,7,6,8,5,6,6,7,5,5,4,9,6,6,5,7,1,9,2,8,4,7,3,7,2,7,2,8,2,8,0,9,3,9,1,8,2,10,1,9,1,10,0,10,1,10,0,10,0,10,-1,0,0,0,0,0,0,0,0,0,0
14.8176,1,84,-64,4,0,0,0,0,0,0,0,0,0,16,1,18,3,17,3,17,4,16,4,15,6,15,5,14,7,14,5,13,6,14,5,13,6,13,6,12,6,12,6,12,6,12,6,11,5,11,6,11,6,11,6,11,4,10,6,11,5,10,5,11,5,0,0,10,4,10,4,10,4,10,3,10,4,11,3,10,3,10,2,9,3,10,1,9,1,10,1,9,1,10,0,10,0,11,-1,11,-1,11,-1,11,-2,11,-2,11,-2,11,-2,12,-3,12,-3,13,-3,13,-3,0,0,0,0,0,0,0,0,0,0
14.8233,1,84,-64,4,0,0,0,0,0,0,0,0,0,-10,12,-11,12,-12,12,-11,10,-11,10,-11,9,-9,9,-11,8,-11,7,-11,7,-10,9,-11,7,-11,7,-11,7,-11,6,-11,7,-10,7,-10,6,-10,6,-10,6,-10,6,-10,6,-10,6,-10,6,-9,6,-9,7,0,0,-8,6,-7,6,-8,7,-7,8,-8,6,-7,6,-7,6,-7,6,-9,5,-4,7,-6,9,-7,8,-4,7,-5,8,-4,8,-3,8,-4,9,-3,9,-3,9,-4,9,-3,10,-4,10,-3,10,-2,11,-2,10,-2,11,0,0,0,0,0,0,0,0,0,0
14.8327,1,84,-64,4,0,0,0,0,0,0,0,0,0,14,6,14,7,13,7,13,8,12,8,11,8,11,8,10,8,9,9,9,8,9,8,9,8,9,8,9,8,8,8,8,8,8,8,7,8,8,8,7,7,7,8,8,7,7,7,8,7,7,7,7,6,0,0,7,6,7,6,8,6,7,5,7,6,7,5,7,5,7,5,8,4,7,4,8,3,8,4,8,3,9,3,8,2,9,2,9,2,9,2,9,1,9,1,10,1,10,1,10,1,11,1,11,1,11,0,0,0,0,0,0,0,0,0,0,0
14.8434,1,84,-64,4,0,0,0,0,0,0,0,0,0,-4,-18,-4,-18,-3,-18,-2,-18,-1,-18,-1,-17,0,-17,0,-16,1,-16,0,-15,0,-15,0,-15,0,-15,0,-14,1,-15,0,-14,1,-13,1,-13,1,-14,0,-14,0,-14,1,-13,1,-13,0,-14,0,-13,0,-12,0,0,0,-12,0,-12,-1,-11,-1,-11,-1,-12,-2,-11,-2,-11,-2,-11,-2,-11,-3,-11,-4,-11,-3,-11,-4,-10,-4,-10,-4,-10,-5,-10,-5,-10,-6,-10,-6,-11,-6,-10,-6,-11,-7,-11,-8,-11,-9,-11,-9,-11,-9,-11,0,0,0,0,0,0,0,0,0,0
14.8525,1,84,-64,4,0,0,0,0,0,0,0,0,0,-9,11,-10,12,-11,11,-11,11,-11,9,-11,9,-11,9,-11,8,-10,7,-10,8,-10,7,-10,7,-10,7,-10,7,-10,6,-10,7,-9,7,-9,6,-9,7,-9,6,-9,6,-9,6,-8,6,-8,7,-8,6,-8,6,0,0,-8,6,-7,6,-7,7,-7,6,-7,7,-7,7,-6,7,-6,6,-6,7,-6,6,-5,8,-5,7,-4,8,-4,8,-4,7,-4,8,-3,8,-3,9,-3,9,-3,9,-3,9,-3,10,-2,10,-2,10,-2,10,-2,11,0,0,0,0,0,0,0,0,0,0
14.8631,1,84,-64,4,0,0,0,0,0,0,0,0,0,3,-16,4,-16,4,-15,5,-16,5,-14,6,-14,6,-13,6,-13,6,-12,7,-12,6,-12,6,-12,6,-12,6,-12,6,-11,6,-11,6,-10,6,-10,6,-11,6,-10,6,-10,6,-10,6,-9,6,-10,6,-10,5,-10,0,0,5,-9,5,-9,4,-10,4,-9,4,-9,4,-9,4,-10,3,-9,3,-9,3,-9,2,-10,2,-9,2,-10,2,-10,2,-9,1,-10,1,-10,0,-10,0,-11,0,-10,0,-11,0,-11,0,-11,-1,-12,-1,-12,-1,-12,0,0,0,0,0,0,0,0,0,0
14.8731,1,84,-64,4,0,0,0,0,0,0,0,0,0,14,-6,14,-5,15,-5,15,-3,14,-3,14,-3,14,-2,14,-1,13,-1,13,-1,13,-1,13,-1,13,-1,12,-1,12,-1,12,0,11,0,11,0,11,0,11,0,11,0,11,0,10,0,11,-1,11,-1,10,-1,0,0,10,-1,10,-1,10,-2,9,-1,10,-2,9,-2,9,-1,9,-2,9,-2,8,-3,9,-4,8,-3,8,-4,8,-4,8,-4,8,-4,8,-5,8,-5,9,-5,8,-6,8,-6,8,-6,8,-7,8,-8,9,-7,9,-8,0,0,0,0,0,0,0,0,0,0
14.8826,1,84,-64,4,0,0,0,0,0,0,0,0,0,2,-19,5,-16,3,-16,2,-15,5,-15,5,-14,5,-13,5,-14,6,-13,5,-12,5,-13,5,-12,6,-13,5,-12,4,-12,4,-12,5,-12,4,-11,4,-11,4,-11,4,-11,4,-11,4,-10,4,-11,3,-11,4,-11,0,0,3,-10,3,-10,3,-10,2,-10,2,-10,2,-10,2,-10,1,-10,1,-10,1,-10,0,-10,0,-10,-1,-10,0,-10,-1,-10,-1,-10,-2,-10,-2,-10,-2,-10,-3,-10,-3,-11,-3,-11,-4,-11,-4,-11,-4,-12,-4,-12,0,0,0,0,0,0,0,0,0,0
14.8956,1,84,-64,4,0,0,0,0,0,0,0,0,0,-10,15,-10,14,-11,14,-12,14,-12,12,-12,12,-12,11,-12,10,-12,10,-12,9,-12,10,-12,10,-12,9,-11,9,-11,9,-12,8,-11,8,-11,7,-11,8,-11,8,-11,7,-9,8,-9,7,-9,7,-10,7,-9,8,0,0,-9,8,-8,8,-8,8,-8,8,-8,8,-7,8,-8,8,-7,8,-6,8,-6,8,-6,8,-6,8,-5,9,-5,9,-5,10,-4,9,-4,10,-4,10,-4,10,-4,10,-3,11,-3,11,-3,11,-1,12,-2,12,-2,13,0,0,0,0,0,0,0,0,0,0
14.9045,1,84,-64,4,0,0,0,0,0,0,0,0,0,-8,16,-9,17,-10,16,-11,15,-10,14,-11,14,-11,13,-11,12,-11,11,-11,11,-11,11,-11,10,-11,10,-11,10,-11,10,-10,10,-11,10,-10,9,-10,10,-10,9,-10,9,-9,9,-9,8,-10,9,-9,9,-8,9,0,0,-8,8,-8,8,-7,9,-7,8,-8,9,-7,9,-6,9,-6,9,-6,9,-6,9,-5,9,-5,9,-4,10,-4,10,-4,9,-4,10,-3,10,-3,10,-3,10,-2,10,-2,11,-2,12,-1,12,-1,13,-1,13,-1,13,0,0,0,0,0,0,0,0,0,0
14.9171,1,84,-64,4,0,0,0,0,0,0,0,0,0,-18,-8,-17,-10,-17,-10,-16,-11,-15,-11,-15,-11,-13,-12,-12,-12,-12,-13,-12,-12,-13,-11,-12,-11,-12,-11,-12,-11,-11,-12,-11,-11,-10,-11,-10,-10,-10,-11,-9,-11,-9,-11,-9,-11,-9,-10,-10,-9,-10,-9,-10,-9,0,0,-9,-9,-9,-8,-10,-8,-10,-7,-10,-8,-10,-8,-10,-7,-10,-7,-10,-7,-10,-6,-11,-5,-11,-5,-11,-5,-11,-5,-10,-4,-11,-4,-11,-3,-12,-3,-12,-3,-12,-3,-12,-3,-13,-3,-13,-2,-13,-1,-13,-1,-14,-1,0,0,0,0,0,0,0,0,0,0
14.924,1,84,-64,4,0,0,0,0,0,0,0,0,0,-8,15,-9,14,-9,14,-10,13,-10,13,-10,12,-10,11,-11,10,-10,10,-10,10,-10,10,-10,9,-10,9,-10,9,-9,8,-10,8,-9,8,-9,8,-9,8,-9,8,-9,8,-9,7,-8,8,-9,8,-8,7,-8,7,0,0,-7,7,-7,8,-7,7,-6,8,-6,8,-6,8,-6,8,-6,8,-5,8,-5,7,-4,8,-4,8,-4,8,-3,9,-3,9,-3,8,-2,9,-2,9,-2,9,-2,9,-2,10,-1,10,-1,11,0,11,0,11,0,11,0,0,0,0,0,0,0,0,0,0
14.9325,1,84,-64,4,0,0,0,0,0,0,0,0,0,16,-4,16,-3,16,-2,16,-1,15,0,15,0,14,1,14,1,14,1,13,2,13,1,13,1,13,1,12,2,12,2,12,2,11,2,11,1,11,1,11,1,11,2,11,2,10,1,10,1,10,1,10,0,0,0,9,0,9,0,9,0,9,-1,9,-1,9,-1,9,-1,9,-1,9,-1,8,-2,9,-3,8,-3,8,-3,8,-3,8,-3,8,-4,8,-5,8,-4,8,-5,8,-5,8,-5,8,-6,8,-7,7,-7,8,-7,8,-8,0,0,0,0,0,0,0,0,0,0
14.9436,1,84,-64,4,0,0,0,0,0,0,0,0,0,-12,-13,-11,-14,-11,-14,-10,-14,-9,-15,-8,-14,-8,-14,-7,-14,-7,-14,-7,-14,-7,-14,-6,-13,-6,-14,-6,-13,-5,-13,-6,-13,-5,-12,-5,-12,-5,-12,-5,-12,-5,-12,-5,-12,-5,-11,-5,-11,-5,-11,-5,-11,0,0,-5,-10,-6,-9,-5,-9,-5,-9,-6,-9,-6,-9,-6,-9,-6,-8,-6,-8,-7,-7,-7,-7,-7,-7,-8,-7,-8,-6,-7,-6,-8,-6,-8,-6,-8,-6,-9,-5,-9,-5,-10,-5,-10,-5,-10,-5,-11,-5,-11,-5,-12,-5,0,0,0,0,0,0,0,0,0,0
14.9544,1,84,-64,4,0,0,0,0,0,0,0,0,0,-15,-6,-14,-7,-14,-7,-14,-9,-13,-9,-12,-9,-11,-9,-11,-10,-11,-9,-10,-9,-11,-9,-10,-9,-10,-9,-10,-8,-9,-9,-10,-8,-9,-8,-9,-8,-9,-8,-8,-8,-8,-8,-8,-8,-8,-7,-8,-6,-8,-7,-8,-6,0,0,-8,-6,-8,-5,-8,-5,-8,-5,-8,-5,-8,-5,-8,-5,-8,-4,-8,-4,-8,-3,-9,-2,-8,-2,-9,-1,-9,-2,-9,-1,-9,-1,-9,0,-9,0,-9,0,-9,0,-9,0,-10,1,-10,1,-10,2,-10,2,-11,2,0,0,0,0,0,0,0,0,0,0
14.9616,1,84,-64,4,0,0,0,0,0,0,0,0,0,0,-20,1,-19,2,-19,3,-19,3,-18,4,-18,4,-18,5,-17,6,-16,5,-16,5,-16,4,-16,5,-15,5,-15,4,-15,4,-14,4,-14,4,-13,4,-14,4,-13,4,-13,5,-13,3,-13,3,-13,3,-12,3,-12,0,0,2,-12,1,-12,0,-12,2,-11,1,-11,2,-11,-1,-12,0,-12,0,-9,-1,-7,-3,-11,-2,-11,-2,-11,-3,-10,-4,-11,-4,-10,-5,-11,-5,-10,-5,-10,-5,-10,-6,-11,-7,-10,-7,-11,-7,-11,-8,-11,-8,-11,0,0,0,0,0,0,0,0,0,0
14.9727,1,84,-64,4,0,0,0,0,0,0,0,0,0,10,-16,10,-15,11,-15,12,-14,12,-13,12,-12,12,-12,12,-11,12,-10,12,-10,12,-11,12,-10,11,-10,12,-9,11,-9,11,-9,10,-8,10,-8,10,-8,10,-8,10,-8,10,-8,9,-7,9,-9,9,-8,8,-8,0,0,8,-8,7,-8,7,-8,7,-8,7,-8,7,-8,6,-9,5,-8,5,-8,5,-9,4,-9,4,-9,4,-9,4,-10,3,-10,3,-10,2,-10,2,-11,2,-11,2,-11,1,-11,1,-12,1,-12,0,-12,0,-13,0,-13,0,0,0,0,0,0,0,0,0,0
14.9853,1,84,-64,4,0,0,0,0,0,0,0,0,0,-16,-21,-10,-15,-8,-21,-7,-18,-8,-18,-9,-18,-7,-21,-5,-19,-5,-19,-5,-18,-6,-18,-5,-17,-5,-17,-5,-16,-4,-17,-5,-15,-5,-15,-4,-13,-5,-16,-4,-15,-4,-15,-4,-14,-5,-13,-6,-13,-6,-13,-6,-13,0,0,-7,-11,-7,-12,-7,-11,-7,-11,-6,-11,-6,-10,-10,-10,-9,-11,-7,-8,-8,-5,-9,-11,-9,-9,-10,-7,-10,-7,-9,-7,-11,-6,-11,-6,-12,-5,-13,-7,-13,-6,-12,-5,-13,-5,-14,-4,-14,-3,-15,-3,-14,-3,0,0,0,0,0,0,0,0,0,0
14.9947,1,84,-64,4,0,0,0,0,0,0,0,0,0,6,-18,7,-17,8,-17,9,-17,9,-16,9,-15,10,-14,10,-14,9,-13,10,-13,10,-12,10,-12,10,-12,10,-12,10,-11,9,-11,9,-11,9,-10,9,-10,9,-10,8,-10,8,-10,8,-10,8,-10,7,-10,8,-10,0,0,6,-9,6,-9,6,-10,5,-10,6,-10,6,-10,5,-10,4,-10,4,-10,4,-10,3,-10,3,-10,3,-10,2,-10,2,-11,2,-10,1,-11,1,-11,1,-12,1,-11,1,-12,0,-12,0,-13,-1,-13,-1,-13,-1,-13,0,0,0,0,0,0,0,0,0,0
15.0045,1,84,-64,4,0,0,0,0,0,0,0,0,0,12,12,12,13,10,14,10,15,9,13,8,14,8,14,7,14,6,14,6,13,6,14,6,13,5,14,5,13,4,12,6,12,5,12,5,12,4,12,4,11,4,11,5,11,4,11,4,10,5,10,5,10,0,0,5,10,4,10,6,8,6,7,6,9,7,8,6,8,5,7,6,7,7,8,6,6,7,7,7,6,8,5,8,6,8,5,8,5,9,5,9,4,9,4,10,4,10,4,11,4,11,4,11,4,11,3,0,0,0,0,0,0,0,0,0,0
15.0194,1,84,-64,4,0,0,0,0,0,0,0,0,0,6,17,5,18,4,18,3,18,2,17,1,17,1,17,0,16,0,16,0,15,0,15,0,15,0,15,-1,14,-1,14,-1,14,-1,14,-1,12,-1,13,-1,13,-1,13,-1,12,-1,11,0,12,0,12,0,12,0,0,0,11,0,11,1,11,1,10,1,11,1,11,1,11,2,10,2,10,3,9,3,10,3,10,4,10,4,10,4,9,5,9,5,9,6,9,6,9,6,9,6,9,6,9,7,9,8,9,8,9,8,9,0,0,0,0,0,0,0,0,0,0
15.025,1,84,-64,4,0,0,0,0,0,0,0,0,0,-13,9,-14,8,-14,8,-14,7,-14,6,-14,5,-14,5,-14,4,-13,4,-13,4,-13,4,-13,3,-13,4,-12,3,-12,3,-12,3,-12,3,-11,4,-11,3,-11,3,-11,3,-11,3,-10,3,-11,4,-11,3,-10,3,0,0,-9,3,-9,4,-9,4,-8,4,-9,4,-8,4,-9,4,-8,4,-8,4,-8,5,-7,6,-7,5,-7,6,-6,6,-6,6,-6,7,-6,7,-6,7,-6,7,-6,7,-6,7,-5,8,-6,8,-5,9,-5,9,-5,10,0,0,0,0,0,0,0,0,0,0
15.0319,1,84,-64,4,0,0,0,0,0,0,0,0,0,-21,-5,-21,-5,-20,-6,-20,-7,-18,-7,-17,-9,-19,-9,-17,-8,-17,-9,-17,-9,-16,-8,-15,-8,-16,-9,-16,-9,-16,-9,-14,-8,-15,-8,-13,-9,-13,-8,-13,-8,-13,-7,-13,-7,-12,-7,-13,-6,-13,-6,-13,-6,0,0,-14,-6,-13,-5,-13,-4,-11,-5,-12,-4,-13,-5,-12,-3,-14,-5,-9,-4,-12,0,-14,-1,-13,-1,-11,-2,-11,-1,-13,-1,-13,0,-13,0,-12,1,-13,0,-12,2,-13,2,-14,2,-13,2,-14,3,-14,3,-15,4,0,0,0,0,0,0,0,0,0,0
15.0443,1,84,-64,4,0,0,0,0,0,0,0,0,0,-3,-20,-3,-20,-2,-20,-1,-20,0,-19,0,-19,1,-18,2,-17,2,-17,2,-16,2,-17,2,-16,2,-16,2,-15,2,-15,2,-14,2,-15,2,-13,2,-15,2,-14,2,-13,2,-14,2,-13,1,-14,1,-13,1,-13,0,0,1,-12,1,-12,0,-12,0,-11,-1,-12,-1,-12,-1,-12,-2,-12,-2,-12,-2,-11,-2,-11,-2,-11,-3,-11,-3,-11,-4,-11,-4,-11,-4,-11,-5,-11,-5,-11,-6,-10,-6,-11,-6,-11,-7,-11,-8,-11,-8,-11,-8,-11,0,0,0,0,0,0,0,0,0,0
15.0507,1,84,-64,4,0,0,0,0,0,0,0,0,0,-15,-10,-14,-12,-14,-12,-13,-12,-12,-12,-12,-12,-10,-12,-10,-13,-9,-12,-9,-12,-9,-12,-9,-12,-9,-12,-8,-11,-8,-11,-8,-11,-8,-11,-7,-11,-7,-11,-7,-11,-7,-10,-7,-11,-7,-9,-7,-10,-8,-9,-8,-9,0,0,-7,-9,-7,-8,-7,-8,-7,-7,-7,-8,-7,-8,-7,-8,-8,-7,-8,-7,-8,-6,-9,-6,-8,-5,-9,-5,-9,-5,-9,-5,-9,-5,-9,-4,-10,-4,-10,-4,-10,-4,-10,-4,-11,-3,-11,-3,-11,-2,-11,-2,-12,-2,0,0,0,0,0,0,0,0,0,0
15.0607,1,84,-64,4,0,0,0,0,0,0,0,0,0,-7,15,-9,14,-9,13,-10,13,-10,12,-10,12,-10,11,-11,10,-10,10,-10,9,-10,10,-10,9,-9,9,-9,8,-9,8,-9,7,-9,8,-8,7,-9,8,-8,8,-8,8,-8,7,-8,7,-8,8,-8,8,-8,8,0,0,-7,7,-6,7,-6,8,-6,8,-6,8,-5,7,-6,8,-5,7,-5,8,-4,8,-4,8,-4,8,-4,7,-3,8,-3,8,-2,8,-2,9,-1,8,-1,9,-1,9,-2,9,-1,9,0,9,0,10,0,9,1,10,0,0,0,0,0,0,0,0,0,0
15.0744,1,84,-64,4,0,0,0,0,0,0,0,0,0,-15,-14,-13,-15,-13,-15,-12,-16,-11,-16,-10,-16,-9,-16,-9,-15,-9,-15,-8,-15,-8,-14,-8,-15,-8,-14,-8,-14,-7,-14,-7,-14,-7,-13,-6,-13,-6,-13,-6,-13,-6,-13,-6,-13,-6,-12,-6,-12,-7,-12,-7,-11,0,0,-7,-11,-7,-10,-7,-10,-7,-10,-7,-10,-7,-10,-7,-10,-7,-9,-7,-8,-8,-8,-9,-8,-8,-7,-9,-7,-9,-7,-9,-7,-9,-6,-9,-6,-10,-6,-10,-6,-11,-6,-11,-6,-11,-5,-11,-4,-12,-4,-13,-4,-13,-4,0,0,0,0,0,0,0,0,0,0
15.081,1,84,-64,4,0,0,0,0,0,0,0,0,0,17,9,16,9,15,10,15,11,13,11,13,11,12,12,12,11,11,11,11,11,11,11,10,10,10,11,10,11,10,11,9,10,9,10,8,9,9,10,8,10,9,9,9,9,8,8,8,8,8,8,9,8,0,0,9,8,8,7,9,7,9,6,9,7,9,7,8,6,9,6,9,5,9,4,9,4,9,4,10,3,10,3,9,3,10,2,10,1,11,1,11,1,10,1,11,0,11,0,11,0,12,-1,12,-1,12,-1,0,0,0,0,0,0,0,0,0,0
15.0907,1,84,-64,4,0,0,0,0,0,0,0,0,0,-18,6,-19,5,-19,4,-20,4,-19,3,-18,2,-17,0,-17,0,-16,0,-17,0,-16,0,-16,0,-16,0,-16,0,-16,0,-15,0,-15,0,-14,0,-14,0,-14,-1,-14,-1,-13,0,-13,0,-13,1,-13,1,-13,0,0,0,-13,1,-12,1,-12,1,-12,1,-12,2,-11,2,-11,2,-11,2,-11,2,-10,2,-10,3,-10,4,-10,4,-10,4,-9,5,-9,5,-9,6,-9,6,-9,6,-9,6,-9,7,-9,7,-8,8,-9,9,-8,9,-9,9,0,0,0,0,0,0,0,0,0,0
15.1007,1,84,-64,4,0,0,0,0,0,0,0,0,0,-12,15,-12,15,-13,13,-14,13,-14,12,-14,11,-14,10,-14,10,-14,9,-14,9,-14,8,-13,8,-13,8,-13,7,-13,8,-13,7,-13,7,-12,6,-12,7,-12,6,-12,6,-12,6,-11,6,-11,7,-11,7,-10,7,0,0,-10,6,-10,7,-10,7,-9,6,-10,7,-9,7,-9,7,-8,7,-8,7,-8,7,-8,8,-7,8,-7,8,-7,8,-7,8,-6,8,-6,9,-6,9,-6,9,-5,9,-5,10,-5,10,-4,11,-4,11,-4,11,-4,11,0,0,0,0,0,0,0,0,0,0
15.1099,1,84,-64,4,0,0,0,0,0,0,0,0,0,-16,-14,-14,-15,-15,-16,-14,-15,-12,-16,-12,-16,-11,-16,-10,-16,-9,-15,-9,-15,-10,-15,-9,-15,-8,-15,-9,-14,-8,-14,-8,-14,-8,-13,-7,-13,-8,-14,-7,-13,-7,-13,-7,-13,-7,-12,-7,-12,-8,-12,-8,-11,0,0,-7,-11,-8,-11,-8,-11,-8,-10,-7,-11,-8,-11,-10,-10,-9,-8,-8,-4,-10,-6,-9,-8,-9,-8,-9,-7,-10,-8,-10,-6,-10,-6,-11,-6,-12,-6,-11,-5,-11,-6,-11,-6,-12,-6,-13,-4,-13,-5,-14,-5,-14,-4,0,0,0,0,0,0,0,0,0,0
15.125,1,84,-64,4,0,0,0,0,0,0,0,0,0,-12,-16,-11,-16,-11,-17,-10,-17,-9,-17,-8,-17,-7,-16,-7,-16,-6,-16,-6,-16,-6,-16,-5,-16,-6,-16,-5,-15,-5,-15,-5,-15,-5,-14,-4,-14,-5,-14,-4,-14,-4,-14,-4,-14,-4,-13,-5,-13,-5,-13,-5,-12,0,0,-5,-12,-5,-12,-5,-11,-5,-11,-5,-11,-6,-11,-6,-11,-6,-10,-6,-10,-7,-9,-7,-9,-7,-9,-7,-9,-8,-9,-8,-8,-8,-8,-9,-8,-9,-8,-9,-8,-10,-7,-10,-7,-10,-7,-11,-7,-12,-7,-12,-7,-12,-7,0,0,0,0,0,0,0,0,0,0
15.1316,1,84,-64,4,0,0,0,0,0,0,0,0,0,-16,5,-17,4,-17,3,-17,2,-17,2,-16,1,-16,0,-15,0,-15,0,-15,0,-15,-1,-14,-1,-14,-1,-14,-1,-14,-1,-13,-1,-14,-1,-13,-1,-13,-1,-13,-1,-12,-1,-12,-1,-12,0,-12,-1,-12,0,-12,0,0,0,-11,0,-11,1,-11,1,-11,1,-11,1,-10,1,-11,1,-10,1,-10,2,-10,2,-10,3,-9,3,-9,3,-9,4,-9,3,-9,5,-9,5,-9,5,-9,5,-8,5,-9,6,-9,6,-8,6,-8,8,-9,8,-9,8,0,0,0,0,0,0,0,0,0,0
